Player,Opp,GP,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Markus WheatonWR - PIT,@NE,16,-,-,-,15,-,611,3,-,-,-,80.6
Stedman BaileyWR - STL,SEA,16,-,-,-,22,-,595,3,-,-,-,79.7
Andre RobertsWR - WAS,MIA,16,-,-,-,15,-,594,3,-,-,-,78.9
Brian QuickWR - STL,SEA,16,-,-,-,-,-,600,3,-,-,-,78
Cole BeasleyWR - DAL,NYG,16,-,-,-,-,-,586,3,-,-,-,76.6
Eddie RoyalWR - CHI,GB,16,-,-,-,-,-,583,3,-,-,-,76.3
Corey BrownWR - CAR,@JAC,16,-,-,-,57,-,464,4,-,-,-,76.1
Steve JohnsonWR - SD,DET,16,-,-,-,-,-,498,4,-,-,-,73.8
Chris ConleyWR - KC,@HOU,16,-,-,-,-,-,555,3,-,-,-,73.5
Vince MayleWR - CLE,@NYJ,16,-,-,-,-,-,554,3,-,-,-,73.4
Jaelen StrongWR - HOU,KC,16,-,-,-,-,-,609,2,-,-,-,72.9
Greg JenningsWR - MIAView News,@WAS,16,-,-,-,-,-,537,3,-,-,-,71.7
Dorial Green-BeckhamWR - TEN,@TB,16,-,-,-,-,-,519,3,-,-,-,69.9
Allen HurnsWR - JAC,CAR,16,-,-,-,-,-,569,2,-,-,-,68.9
Devin FunchessWR - CAR,@JAC,16,-,-,-,-,-,501,3,-,-,-,68.1
Tavon AustinWR - STL,SEA,16,-,-,-,263,1,297,1,-,-,-,68
Brian HartlineWR - CLE,@NYJ,16,-,-,-,-,-,539,2,-,-,-,65.9
Marquess WilsonWR - CHI,GB,16,-,-,-,-,-,522,2,-,-,-,64.2
Andre HolmesWR - OAK,CIN,16,-,-,-,-,-,450,3,-,-,-,63
Hakeem NicksWR - TEN,@TB,16,-,-,-,-,-,441,3,-,-,-,62.1
Albert WilsonWR - KC,@HOU,16,-,-,-,-,-,491,2,-,-,-,61.1
Jermaine KearseWR - SEA,@STL,16,-,-,-,16,-,473,2,-,-,-,60.9
Cody LatimerWR - DEN,BAL,16,-,-,-,-,-,365,4,-,-,-,60.5
Nate WashingtonWR - HOU,KC,16,-,-,-,-,-,485,2,-,-,-,60.5
Phillip DorsettWR - IND,@BUF,16,-,-,-,-,-,469,2,-,-,-,58.9
Rod StreaterWR - OAK,CIN,16,-,-,-,-,-,400,3,-,-,-,58
Devin SmithWR - NYJ,CLE,16,-,-,-,-,-,450,2,-,-,-,57
James JonesWR - NYG,@DAL,16,-,-,-,-,-,437,2,-,-,-,55.7
Sammie CoatesWR - PIT,@NE,16,-,-,-,8,-,427,2,-,-,-,55.5
Justin HunterWR - TEN,@TB,16,-,-,-,-,-,435,2,-,-,-,55.5
Aaron DobsonWR - NE,PIT,16,-,-,-,-,-,373,3,-,-,-,55.3
Chris HoganWR - BUF,IND,16,-,-,-,-,-,416,2,-,-,-,53.6
Tyler Lockett WR - SEA View News View Videos,@STL,16,-,-,-,36,-,437,1,-,-,-,53.3
Jarius Wright WR - MIN,@SF,16,-,-,-,62,-,348,2,-,-,-,53
Riley Cooper WR - PHI,@ATL,16,-,-,-,-,-,385,2,-,-,-,50.5
Harry Douglas WR - TEN,@TB,16,-,-,-,-,-,441,1,-,-,-,50.1
Leonard Hankerson WR - ATL View Videos,PHI,16,-,-,-,-,-,365,2,-,-,-,48.5
Jerricho Cotchery WR - CAR View Videos,@JAC,16,-,-,-,-,-,420,1,-,-,-,48
Justin Hardy WR - ATL,PHI,16,-,-,-,-,-,396,1,-,-,-,45.6
Devin Hester WR - ATL View News View Videos,PHI,16,-,-,-,23,-,337,1,-,-,-,42
Corey Washington WR - NYG,@DAL,16,-,-,-,-,-,237,3,-,-,-,41.7
Taylor Gabriel WR - CLE,@NYJ,16,-,-,-,-,-,341,1,-,-,-,40.1
Travis Benjamin WR - CLE,@NYJ,16,-,-,-,11,-,324,1,-,-,-,39.5
Jeremy Kerley WR - NYJ View News,CLE,16,-,-,-,12,-,320,1,-,-,-,39.2
Miles Austin WR - PHI,@ATL,16,-,-,-,-,-,330,1,-,-,-,39
Ty Montgomery WR - GB,@CHI,16,-,-,-,-,-,324,1,-,-,-,38.4
Kenny Bell WR - TB,TEN,16,-,-,-,-,-,317,1,-,-,-,37.7
Brandon Gibson WR - NE,PIT,16,-,-,-,-,-,312,1,-,-,-,37.2
Preston Parker WR - NYG,@DAL,16,-,-,-,-,-,309,1,-,-,-,36.9
Jeff Janis WR - GB,@CHI,16,-,-,-,-,-,246,2,-,-,-,36.6
Marlon Brown WR - BAL,@DEN,16,-,-,-,-,-,284,1,-,-,-,34.4
Bruce Ellington WR - SF,MIN,16,-,-,-,17,-,203,2,-,-,-,34
Josh Huff WR - PHI,@ATL,16,-,-,-,-,-,279,1,-,-,-,33.9
J.J. Nelson WR - ARI,NO,14,-,-,-,-,-,271,1,-,-,-,33.1
Paul Richardson WR - SEA,@STL,16,-,-,-,-,-,270,1,-,-,-,33
Joseph Morgan WR - NO,@ARI,16,-,-,-,20,-,247,1,-,-,-,32.7
Brenton Bersin WR - CAR,@JAC,13,-,-,-,-,-,220,1,-,-,-,28
Damaris Johnson WR - HOU,KC,10,-,-,-,15,-,260,-,-,-,-,27.5
Chris Givens WR - STL,SEA,14,-,-,-,-,-,203,1,-,-,-,26.3
Denarius Moore WR - CIN,@OAK,16,-,-,-,-,-,202,1,-,-,-,26.2
Stefon Diggs WR - MIN,@SF,10,-,-,-,-,-,244,-,-,-,-,24.4
Michael Campanaro WR - BAL,@DEN,12,-,-,-,-,-,173,1,-,-,-,23.3
Lance Moore WR - DET,@SD,11,-,-,-,-,-,158,1,-,-,-,21.8
Jamison Crowder WR - WAS,MIA,14,-,-,-,13,-,195,-,-,-,-,20.8
Jason Avant WR - KC View Videos,@HOU,15,-,-,-,-,-,207,-,-,-,-,20.7
Jarrett Boykin WR - CAR,@JAC,13,-,-,-,-,-,195,-,-,-,-,19.5
Ricardo Lockette WR - SEA,@STL,16,-,-,-,3,-,109,1,-,-,-,17.2
Ted Ginn WR - CAR View News View Videos,@JAC,15,-,-,-,-,-,170,-,-,-,-,17
Jacoby Jones WR - SD,DET,15,-,-,-,8,-,158,-,-,-,-,16.6
Dwayne Harris WR - NYG,@DAL,10,-,-,-,-,-,164,-,-,-,-,16.4
Rashad Greene WR - JAC,CAR,15,-,-,-,-,-,158,-,-,-,-,15.8
Austin Pettis WR - SD,DET,15,-,-,-,-,-,158,-,-,-,-,15.8
Vincent Brown WR - IND,@BUF,10,-,-,-,-,-,149,-,-,-,-,14.9
Evan Spencer WR - WAS,MIA,11,-,-,-,-,-,130,-,-,-,-,13
DeAndre Smelter WR - SF,MIN,11,-,-,-,-,-,123,-,-,-,-,12.3
Darren Waller WR - BAL,@DEN,10,-,-,-,-,-,59,1,-,-,-,11.9
Brian Tyms WR - NE,PIT,11,-,-,-,-,-,110,-,-,-,-,11
Keith Mumphery WR - HOU,KC,6,-,-,-,-,-,94,-,-,-,-,9.4
Mario Alford WR - CIN,@OAK,9,-,-,-,-,-,87,-,-,-,-,8.7
