Player,Opp,GP,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Branden OliverRB - SD,DET,16,-,-,-,256,1,203,1,-,-,-,57.9
Trent RichardsonRB - OAK,CIN,12,-,-,-,212,3,179,-,-,-,-,57.1
Chris PolkRB - HOU,KC,16,-,-,-,326,1,130,1,-,-,1,55.6
Lorenzo TaliaferroRB - BAL,@DEN,16,-,-,-,343,2,92,-,-,-,-,55.5
Damien WilliamsRB - MIAView Videos,@WAS,14,-,-,-,320,1,171,-,-,-,-,55.1
Denard RobinsonRB - JAC,CAR,16,-,-,-,344,1,84,1,-,-,1,52.8
James WhiteRB - NE,PIT,12,-,-,-,182,1,217,1,-,-,-,51.9
Cameron Artis-PayneRB - CAR,@JAC,11,-,-,-,295,2,99,-,-,-,-,51.4
Dri ArcherRB - PIT,@NE,14,-,-,-,190,1,141,2,-,-,-,51.1
Robert TurbinRB - SEAView News,@STL,16,-,-,-,213,1,172,1,-,-,-,50.5
Stepfan TaylorRB - ARI,NO,15,-,-,-,197,3,120,-,-,-,-,49.7
Jay AjayiRB - MIAView News,@WAS,16,-,-,-,201,2,193,-,-,-,1,49.4
Antone SmithRB - ATL,PHI,14,-,-,-,180,2,127,1,-,-,-,48.7
Marcel ReeceRB - OAK,CIN,15,-,-,-,111,2,190,1,-,-,-,48.1
Jordan TodmanRB - CAR,@JAC,14,-,-,-,256,1,183,-,-,-,1,47.9
Fozzy WhittakerRB - CAR,@JAC,15,-,-,-,275,1,126,-,-,-,-,46.1
Kerwynn WilliamsRB - ARI,NO,16,-,-,-,217,2,45,1,-,-,-,44.2
Benny CunninghamRB - STL,SEA,16,-,-,-,134,1,200,1,-,-,1,43.4
De'Anthony ThomasRB - KC,@HOU,16,-,-,-,117,1,125,2,-,-,-,42.2
Travaris CadetRB - NE,PIT,13,-,-,-,184,-,219,-,-,-,-,40.3
Donald BrownRB - SD,DET,15,-,-,-,164,2,117,-,-,-,-,40.1
Matt AsiataRB - MIN,@SF,16,-,-,-,244,1,94,-,-,-,-,39.8
James StarksRB - GB,@CHI,16,-,-,-,242,1,92,-,-,-,-,39.4
Brandon BoldenRB - NE,PIT,14,-,-,-,154,2,48,1,-,-,-,38.2
Ronnie HillmanRB - DEN,BAL,16,-,-,-,221,1,100,-,-,-,-,38.1
Lance DunbarRB - DAL,NYG,16,-,-,-,258,2,22,-,-,-,1,38
Josh RobinsonRB - IND,@BUF,15,-,-,-,267,1,37,-,-,-,-,36.4
Silas ReddRB - WASIR,MIA,12,-,-,-,207,1,95,-,-,-,-,36.2
Mike TolbertRB - CAR,@JAC,16,-,-,-,107,2,129,-,-,-,-,35.6
Jonas GrayRB - NEView Videos,PIT,11,-,-,-,206,2,12,-,-,-,-,33.8
Chris JohnsonRB - ARI,NO,16,-,-,-,196,1,56,-,-,-,-,31.2
