Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
"Daryl Richardson, NYJ",15,60,4,0,2,17,8.5,0,0,3
"Henry Hynoski, NYG",22,56,2.5,0,4,29,7.2,0,0,3
"James White, NE",18,61,3.4,0,4,26,6.5,0,0,3
"Jordan Todman, CAR",5,28,5.6,0,2,17,8.5,0,0,2
"Bryce Brown, BUF",10,39,3.9,0,3,26,8.7,0,0,2
"Antone Smith, ATL",5,43,8.6,0,2,33,16.5,0,0,2
"Zurlon Tipton, IND",7,25,3.6,0,2,17,8.5,0,0,2
"Donald Brown, SD",8,32,4,0,3,21,7,0,0,2
"Benny Cunningham, STL",5,21,4.2,0,4,28,7,0,0,2
"Jeremy Langford, CHI",5,18,3.6,0,1,9,9,0,0,1
"Kerwynn Williams, ARI",11,44,4,0,1,5,5,0,0,1
"Mike James, TB",5,19,3.8,0,1,2,2,0,0,1
"Christine Michael, SEA",5,27,5.4,0,0,1,0,0,0,1
"Jerome Smith, ATL",7,27,3.9,0,1,11,11,0,0,1
"Trent Richardson, OAK",7,21,3,0,1,9,9,0,0,1
"Jay Ajayi, MIA",7,25,3.6,0,1,4,4,0,0,1
"Silas Redd, WAS",2,11,5.5,0,1,19,19,0,0,1
"Fitzgerald Toussaint, BAL",5,16,3.2,0,1,8,8,0,0,1
"Kendall Hunter, SF",9,38,4.2,0,0,1,0,0,0,1
"Ka'Deem Carey, CHI",5,22,4.4,0,1,8,8,0,0,1
"John Crockett, GB",7,27,3.9,0,1,10,10,0,0,1
"Trey Williams, WAS",5,17,3.4,0,1,10,10,0,0,1
"Lache Seastrunk, DAL",8,35,4.4,0,1,9,9,0,0,1
"Cameron Artis-Payne, CAR",7,26,3.7,0,1,7,7,0,0,1
"Shonn Greene, TEN",11,47,4.3,0,1,5,5,0,0,1
"Cedric Peerman, CIN",2,5,2.5,0,0,2,0,0,0,0
"Jawon Chisholm, PIT",1,4,4,0,0,2,0,0,0,0
"Rex Burkhead, CIN",2,7,3.5,0,2,15,7.5,0,0,0
"LaMichael James, MIA",2,12,6,0,0,2,0,0,0,0
"Josh Harris, PIT",1,4,4,0,0,1,0,0,0,0
"Trey Millard, SF",1,4,4,0,0,2,0,0,0,0
"John Conner, BUF",2,6,3,0,1,14,14,0,0,0
"Ray Agnew, DAL",1,3,3,0,1,5,5,0,0,0
"Jackie Battle, TEN",2,6,3,0,1,4,4,0,0,0
"Orleans Darkwa, NYG",2,6,3,0,1,8,8,0,0,0
"Alfonso Smith, SF",4,10,2.5,0,2,9,4.5,0,0,0
"Collin Mooney, ATL",0,1,0,0,2,10,5,0,0,0
"Chris Thompson, WAS",4,15,3.8,0,2,14,7,0,0,0
"Kiero Small, BAL",1,3,3,0,0,3,0,0,0,0
"Braylon Heard, PIT",1,4,4,0,0,2,0,0,0,0
"Nikita Whitlock, NYG",1,2,2,0,0,3,0,0,0,0
"Kenjon Barner, PHI",4,12,3,0,1,8,8,0,0,0
"Jorvorskie Lane, TB",1,9,9,0,0,2,0,0,0,0
"Aaron Ripkowski, GB",1,3,3,0,0,3,0,0,0,0
"J.C. Copeland, NYJ",1,3,3,0,0,2,0,0,0,0
