Player,Opp,GP,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Sean MannionQB - STL,SEA,2,286,-,2,-,-,-,-,-,-,-,7.44
Tom SavageQB - HOU,KC,1,186,-,-,-,-,-,-,-,-,-,7.44
Matt McGloinQB - OAK,CIN,1,125,-,-,-,-,-,-,-,-,-,5
Kellen ClemensQB - SD,DET,1,121,-,-,-,-,-,-,-,-,-,4.84
Brett HundleyQB - GB,@CHI,1,120,-,-,-,-,-,-,-,-,-,4.8
Matt FlynnQB - NYJ,CLE,1,114,-,-,-,-,-,-,-,-,-,4.56
Logan ThomasQB - ARI,NO,1,97,-,-,3,-,-,-,-,-,-,4.18
Jason CampbellQB - XX,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Dominique DavisQB - XX,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Josh FreemanQB - MIA,@WAS,-,-,-,-,-,-,-,-,-,-,-,0
Josh JohnsonQB - CIN,@OAK,-,-,-,-,-,-,-,-,-,-,-,0
Thad LewisQB - CLE,@NYJ,-,-,-,-,-,-,-,-,-,-,-,0
Ryan LindleyQB - NEView Videos,PIT,-,-,-,-,-,-,-,-,-,-,-,0
Jake LockerQB - XX,Bye,-,-,-,-,-,-,-,-,-,-,-,0
AJ McCarronQB - CIN,@OAK,-,-,-,-,-,-,-,-,-,-,-,0
Aaron MurrayQB - KC,@HOU,-,-,-,-,-,-,-,-,-,-,-,0
Kyle OrtonQB - XX,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Curtis PainterQB - XX,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Jordan PalmerQB - XX,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Terrelle PryorQB - CLEView News,@NYJ,-,-,-,-,-,-,-,-,-,-,-,0
Brady QuinnQB - XX,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Connor ShawQB - CLE,@NYJ,-,-,-,-,-,-,-,-,-,-,-,0
Trevor SiemianQB - DEN,BAL,-,-,-,-,-,-,-,-,-,-,-,0
Matt SimmsQB - BUF,IND,-,-,-,-,-,-,-,-,-,-,-,0
Scott TolzienQB - GB,@CHI,-,-,-,-,-,-,-,-,-,-,-,0
Jeff TuelQB - JAC,CAR,-,-,-,-,-,-,-,-,-,-,-,0
Dustin VaughanQB - DAL,NYG,-,-,-,-,-,-,-,-,-,-,-,0
Michael VickQB - XX,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Seneca WallaceQB - XX,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Joe WebbQB - CAR,@JAC,-,-,-,-,-,-,-,-,-,-,-,0
